Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Iraq,IRQ,2010,77.487
Iraq,IRQ,2016,80.387
Ireland,IRL,1990,73.533
Ireland,IRL,1995,79.187
Ireland,IRL,2000,82.365
Ireland,IRL,2005,89.278
Ireland,IRL,2010,92.13
Ireland,IRL,2016,93.68
Israel,ISR,1990,92.198
Israel,ISR,1995,95.01
Israel,ISR,2000,95.1
Israel,ISR,2005,94.945
Israel,ISR,2010,95.593
Israel,ISR,2016,95.326
Italy,ITA,1990,74.501
Italy,ITA,1995,79.452
Italy,ITA,2000,85.415
Italy,ITA,2005,94.923
Italy,ITA,2010,94.566
Italy,ITA,2016,95.3
Jamaica,JAM,1990,86.358
Jamaica,JAM,1995,93.658
Jamaica,JAM,2000,92.03
Jamaica,JAM,2005,93.027
Jamaica,JAM,2010,96.044
Jamaica,JAM,2016,97.557
Japan,JPN,1990,85.342
Japan,JPN,1995,91.555
Japan,JPN,2000,95.641
Japan,JPN,2005,96.908
Japan,JPN,2010,97.181
Japan,JPN,2016,97.168
Jordan,JOR,1990,80.828
Jordan,JOR,1995,87.178
Jordan,JOR,2000,92.414
Jordan,JOR,2005,96.477
Jordan,JOR,2010,98.973
Jordan,JOR,2016,99.418
Kazakhstan,KAZ,1990,87.175
Kazakhstan,KAZ,1995,85.279
Kazakhstan,KAZ,2000,94.599
Kazakhstan,KAZ,2005,92.591
Kazakhstan,KAZ,2010,95.292
Kazakhstan,KAZ,2016,93.787
Kenya,KEN,1990,71.943
Kenya,KEN,1995,73.889
Kenya,KEN,2000,83.259
Kenya,KEN,2005,87.563
Kenya,KEN,2010,90.213
Kenya,KEN,2016,93.273
Kiribati,KIR,1990,68.51
Kiribati,KIR,1995,74.99
Kiribati,KIR,2000,84.687
Kiribati,KIR,2005,85.383
Kiribati,KIR,2010,89.154
Kiribati,KIR,2016,90.96
Kuwait,KWT,1990,38.823
Kuwait,KWT,1995,66.224
Kuwait,KWT,2000,86.073
Kuwait,KWT,2005,88.949
Kuwait,KWT,2010,90.168
Kuwait,KWT,2016,94.916
Kyrgyzstan,KGZ,1990,81.344
Kyrgyzstan,KGZ,1995,84.45
Kyrgyzstan,KGZ,2000,85.35
Kyrgyzstan,KGZ,2005,84.893
Kyrgyzstan,KGZ,2010,87.658
Kyrgyzstan,KGZ,2016,88.589
Laos,LAO,1990,17.383
Laos,LAO,1995,39.458
Laos,LAO,2000,46.384
Laos,LAO,2005,46.109
Laos,LAO,2010,66.05
Laos,LAO,2016,81.17
Latvia,LVA,1990,93.709
Latvia,LVA,1995,91.349
Latvia,LVA,2000,91.969
Latvia,LVA,2005,94.88
Latvia,LVA,2010,93.457
Latvia,LVA,2016,94.75
Lebanon,LBN,1990,85.787
Lebanon,LBN,1995,96.606
Lebanon,LBN,2000,97.803
Lebanon,LBN,2005,96.822
Lebanon,LBN,2010,98.962
Lebanon,LBN,2016,99.631
Lesotho,LSO,1990,83.824
Lesotho,LSO,1995,79.402
Lesotho,LSO,2000,83.247
Lesotho,LSO,2005,82.7
Lesotho,LSO,2010,85.431
Lesotho,LSO,2016,84.797
Liberia,LBR,1990,28.281
Liberia,LBR,1995,32.098
Liberia,LBR,2000,45.3
Liberia,LBR,2005,66.227
Liberia,LBR,2010,74.978
Liberia,LBR,2016,75.78
Libya,LBY,1990,90.065
Libya,LBY,1995,94.688
Libya,LBY,2000,96.173
Libya,LBY,2005,97.548
Libya,LBY,2010,98.557
Libya,LBY,2016,98.32
Lithuania,LTU,1990,89.063
Lithuania,LTU,1995,89.884
Lithuania,LTU,2000,96.235
Lithuania,LTU,2005,94.719
Lithuania,LTU,2010,94.282
Lithuania,LTU,2016,95.075
Luxembourg,LUX,1990,85.55
Luxembourg,LUX,1995,93.832
Luxembourg,LUX,2000,97.165
Luxembourg,LUX,2005,97.966
Luxembourg,LUX,2010,92.216
Luxembourg,LUX,2016,97.843
Macedonia,MKD,1990,89.875
Macedonia,MKD,1995,91.325
Macedonia,MKD,2000,92.633
Macedonia,MKD,2005,92.762
Macedonia,MKD,2010,93.747
Macedonia,MKD,2016,93.235
Madagascar,MDG,1990,52.08
Madagascar,MDG,1995,62.411
Madagascar,MDG,2000,66.85
Madagascar,MDG,2005,75.884
Madagascar,MDG,2010,76.941
Madagascar,MDG,2016,81.722
Malawi,MWI,1990,86.852
Malawi,MWI,1995,94.02
Malawi,MWI,2000,89.571
Malawi,MWI,2005,87.387
Malawi,MWI,2010,91.519
Malawi,MWI,2016,94.071
Malaysia,MYS,1990,82.474
Malaysia,MYS,1995,91.36
Malaysia,MYS,2000,94.083
Malaysia,MYS,2005,92.972
Malaysia,MYS,2010,95.779
Malaysia,MYS,2016,98.109
Maldives,MDV,1990,79.076
Maldives,MDV,1995,92.348
Maldives,MDV,2000,94.413
Maldives,MDV,2005,95.92
Maldives,MDV,2010,96.295
Maldives,MDV,2016,96.546
Mali,MLI,1990,20.203
Mali,MLI,1995,34.155
Mali,MLI,2000,49.636
Mali,MLI,2005,64.502
Mali,MLI,2010,70.833
Mali,MLI,2016,71.794
Malta,MLT,1990,79.117
Malta,MLT,1995,83.913
Malta,MLT,2000,82.859
Malta,MLT,2005,84.354
Malta,MLT,2010,89.645
Malta,MLT,2016,95.61
Marshall Islands,MHL,1990,26.071
Marshall Islands,MHL,1995,40.366
Marshall Islands,MHL,2000,46.223
Marshall Islands,MHL,2005,50.27
Marshall Islands,MHL,2010,55.151
Marshall Islands,MHL,2016,59.749
Mauritania,MRT,1990,39.786
Mauritania,MRT,1995,52.046
Mauritania,MRT,2000,61.549
Mauritania,MRT,2005,71.664
Mauritania,MRT,2010,74.946
Mauritania,MRT,2016,79.254
Mauritius,MUS,1990,83.831
Mauritius,MUS,1995,87.543
Mauritius,MUS,2000,92.231
Mauritius,MUS,2005,96.754
Mauritius,MUS,2010,98.024
Mauritius,MUS,2016,98.796
Mexico,MEX,1990,71.346
Mexico,MEX,1995,84.899
Mexico,MEX,2000,88.286
Mexico,MEX,2005,85.297
Mexico,MEX,2010,83.315
Mexico,MEX,2016,84.948
Micronesia (country),FSM,1990,58.008
Micronesia (country),FSM,1995,69.331
Micronesia (country),FSM,2000,69.856
Micronesia (country),FSM,2005,78.269
Micronesia (country),FSM,2010,78.701
Micronesia (country),FSM,2016,82.863
Moldova,MDA,1990,94.97
Moldova,MDA,1995,94.266
Moldova,MDA,2000,95.274
Moldova,MDA,2005,95.322
Moldova,MDA,2010,91.381
Moldova,MDA,2016,91.017
Mongolia,MNG,1990,67.247
Mongolia,MNG,1995,80.103
Mongolia,MNG,2000,90.031
Mongolia,MNG,2005,95.039
Mongolia,MNG,2010,95.55
Mongolia,MNG,2016,96.359
Montenegro,MNE,1990,92.229
Montenegro,MNE,1995,92.475
Montenegro,MNE,2000,92.278
Montenegro,MNE,2005,94.884
Montenegro,MNE,2010,94.446
Montenegro,MNE,2016,94.853
Morocco,MAR,1990,76.535
Morocco,MAR,1995,87.131
Morocco,MAR,2000,91.74
Morocco,MAR,2005,92.794
Morocco,MAR,2010,93.511
Morocco,MAR,2016,96.032
Mozambique,MOZ,1990,48.206
Mozambique,MOZ,1995,65.428
Mozambique,MOZ,2000,78.516
Mozambique,MOZ,2005,80.013
Mozambique,MOZ,2010,79.088
Mozambique,MOZ,2016,83.657
Myanmar,MMR,1990,68.212
Myanmar,MMR,1995,86.221
