Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
Croatia (cons),,2008,51.546448,11.269264
Croatia (cons),,2009,49.692928,10.950293
Croatia (cons),,2010,37.890434,10.758319
Croatia (inc),,1988,30.532639,10.141094
Croatia (inc),,2009,36.204826,6.7971196
Croatia (inc),,2010,33.253502,6.0786648
Croatia (inc),,2011,31.935308,5.9834752
Croatia (inc),,2012,30.439499,5.7456484
Croatia (inc),,2013,29.879398,5.7539997
Croatia (inc),,2014,31.725119,6.1318436
Croatia (inc),,2015,32.550438,6.6264486
Cyprus (inc),,2004,77.173523,19.777328
Cyprus (inc),,2005,83.448357,21.774977
Cyprus (inc),,2006,93.72921,23.615486
Cyprus (inc),,2007,92.81868,23.454428
Cyprus (inc),,2008,93.454918,23.119652
Cyprus (inc),,2009,92.362633,21.989954
Cyprus (inc),,2010,92.952194,22.658983
Cyprus (inc),,2011,94.357346,21.771885
Cyprus (inc),,2012,91.326759,19.916553
Cyprus (inc),,2013,91.628563,18.441439
Cyprus (inc),,2014,82.798569,16.601913
Cyprus (inc),,2015,82.383484,17.741796
Czech Republic (inc),,1993,29.623552,9.3384323
Czech Republic (inc),,1996,33.417561,10.170404
Czech Republic (inc),,2004,39.2435,10.178615
Czech Republic (inc),,2005,40.132004,10.901709
Czech Republic (inc),,2006,42.025833,11.379254
Czech Republic (inc),,2007,43.892998,12.493465
Czech Republic (inc),,2008,45.606503,12.801704
Czech Republic (inc),,2009,45.663471,12.740925
Czech Republic (inc),,2010,45.690716,12.400853
Czech Republic (inc),,2011,45.394279,12.35742
Czech Republic (inc),,2012,44.530571,12.627122
Czech Republic (inc),,2013,45.344109,12.448118
Czech Republic (inc),,2014,45.876255,12.926927
Czech Republic (inc),,2015,47.72702,13.457911
Democratic Republic of Congo (cons),,2005,1.5472897,0.22594664
Democratic Republic of Congo (cons),,2012,3.0696609,0.4314746
Denmark (inc),,2003,74.632133,22.009706
Denmark (inc),,2004,74.433846,22.578197
Denmark (inc),,2005,75.96064,22.560738
Denmark (inc),,2006,80.089539,23.517933
Denmark (inc),,2007,82.298561,23.606081
Denmark (inc),,2008,79.122536,23.457205
Denmark (inc),,2009,81.892937,21.563515
Denmark (inc),,2010,87.677101,23.738239
Denmark (inc),,2011,86.669884,23.410421
Denmark (inc),,2012,87.021095,22.914061
Denmark (inc),,2013,90.365417,22.999147
Denmark (inc),,2014,90.680161,22.569798
Denmark (inc),,2015,92.131897,24.229771
Djibouti (cons),,2002,8.8393764,1.3745795
Djibouti (cons),,2012,11.365955,1.0062933
Djibouti (cons),,2013,10.145482,1.1721489
Dominican Republic (inc),,1986,28.66346,2.6978331
Dominican Republic (inc),,1989,17.544016,1.8780813
Dominican Republic (inc),,1992,24.226931,2.4945924
Dominican Republic (inc),,1996,25.784332,2.5532939
Dominican Republic (inc),,1997,28.576019,2.5317647
Dominican Republic (inc),,2000,31.784601,2.5778646
Dominican Republic (inc),,2001,30.143209,2.912781
Dominican Republic (inc),,2002,28.424524,2.4057314
Dominican Republic (inc),,2003,25.556051,2.2222979
Dominican Republic (inc),,2004,21.754015,2.0019855
Dominican Republic (inc),,2005,24.972338,2.4512875
Dominican Republic (inc),,2006,28.617523,2.7071931
Dominican Republic (inc),,2007,25.714161,2.710114
Dominican Republic (inc),,2008,24.612835,2.7906651
Dominican Republic (inc),,2009,26.734999,2.9661314
Dominican Republic (inc),,2010,25.792959,3.0734811
Dominican Republic (inc),,2011,27.022514,3.118288
Dominican Republic (inc),,2012,24.681568,3.0551145
Dominican Republic (inc),,2013,26.308125,3.2337978
Dominican Republic (inc),,2014,26.257982,3.377382
Dominican Republic (inc),,2015,29.178432,3.6558499
Dominican Republic (inc),,2016,31.473173,3.8691332
Ecuador (Urban) (inc),,1995,15.975987,1.082631
Ecuador (inc),,1987,16.140717,1.1555424
Ecuador (inc),,1994,16.378553,1.0063709
Ecuador (inc),,1998,14.924994,1.278512
Ecuador (inc),,1999,17.073456,0.8772046
Ecuador (inc),,2000,13.092579,0.83295232
Ecuador (inc),,2003,19.245636,1.3812673
Ecuador (inc),,2004,18.931042,1.2657511
Ecuador (inc),,2005,22.02519,1.5740869
Ecuador (inc),,2006,24.521852,2.0542741
Ecuador (inc),,2007,25.972275,1.9702102
Ecuador (inc),,2008,24.206871,2.0702043
Ecuador (inc),,2009,23.13616,2.1583059
Ecuador (inc),,2010,25.698587,2.4638672
Ecuador (inc),,2011,25.642488,2.6311557
Ecuador (inc),,2012,27.46917,2.7710361
Ecuador (inc),,2013,28.731283,3.1169212
Ecuador (inc),,2014,28.679148,3.3340325
Ecuador (inc),,2015,29.028231,3.0899432
Ecuador (inc),,2016,28.237856,3.0595028
Egypt (cons),,1991,8.6244421,2.1898746
Egypt (cons),,1996,8.241333,2.2667649
Egypt (cons),,2000,10.666035,2.6487923
Egypt (cons),,2004,9.248826,2.3279912
Egypt (cons),,2008,9.2284603,2.3666182
Egypt (cons),,2010,9.7923775,2.4933794
Egypt (cons),,2012,9.70749,2.6110408
Egypt (cons),,2015,11.505129,2.9081314
El Salvador (inc),,1991,15.856034,0.65080243
El Salvador (inc),,1995,17.969486,1.3689132
El Salvador (inc),,1996,17.989016,1.3110877
El Salvador (inc),,1998,18.40193,0.53710186
El Salvador (inc),,1999,18.964279,0.72937042
El Salvador (inc),,2000,21.520964,1.4691308
El Salvador (inc),,2001,20.54356,1.2798471
El Salvador (inc),,2002,20.75528,1.2522296
El Salvador (inc),,2003,18.944664,0.92684412
El Salvador (inc),,2004,19.221451,1.4812827
El Salvador (inc),,2005,19.769278,1.6737597
El Salvador (inc),,2006,19.483002,2.227298
