Entity,Code,Year,Oil (terawatt-hours)
Chile,CHL,1994,7.727664275750001
Chile,CHL,1995,11.141998698829994
Chile,CHL,1996,7.626704420200014
Chile,CHL,1997,9.900047501800003
Chile,CHL,1998,3.1355410399999926
Chile,CHL,1999,1.6420456312999931
Chile,CHL,2000,-3.2915251585999954
Chile,CHL,2001,-6.924487229899995
Chile,CHL,2002,5.909747632900007
Chile,CHL,2003,-4.836420515300006
Chile,CHL,2004,8.22455701429999
Chile,CHL,2005,5.435615211400005
Chile,CHL,2006,16.719908693099995
Chile,CHL,2007,47.8975629167
Chile,CHL,2008,8.286670983500017
Chile,CHL,2009,-5.229030590999997
Chile,CHL,2010,-24.93008079300003
Chile,CHL,2011,17.723653869600014
Chile,CHL,2012,-0.01943314849998501
Chile,CHL,2013,-7.37839112719999
Chile,CHL,2014,-5.741040643200023
Chile,CHL,2015,1.9170801285999914
Chile,CHL,2016,11.925074266600006
Chile,CHL,2017,-5.811887463099993
Chile,CHL,2018,5.4916956529000345
China,CHN,1966,36.7373744443
China,CHN,1967,-2.107065598899993
China,CHN,1968,15.34173031680001
China,CHN,1969,61.009754779499985
China,CHN,1970,92.00121805290001
China,CHN,1971,119.5321329583
China,CHN,1972,68.11881778520006
China,CHN,1973,114.28659148889994
China,CHN,1974,95.08992740890005
China,CHN,1975,75.0052117642
China,CHN,1976,115.1081655083999
China,CHN,1977,51.8553189055001
China,CHN,1978,105.59516359249994
China,CHN,1979,2.6626444222999908
China,CHN,1980,-67.57846763270004
China,CHN,1981,-51.31467218799992
China,CHN,1982,-9.487566291799908
China,CHN,1983,20.99233433549989
China,CHN,1984,35.885145838199946
China,CHN,1985,47.46295760880014
China,CHN,1986,67.31474493859992
China,CHN,1987,70.48156602660015
China,CHN,1988,89.54713535099995
China,CHN,1989,60.568095644000095
China,CHN,1990,-11.602464812000107
China,CHN,1991,108.0994369550001
China,CHN,1992,126.21351085499964
China,CHN,1993,164.78822863599999
China,CHN,1994,23.450495911000644
China,CHN,1995,146.04980283799955
China,CHN,1996,182.69954162700037
China,CHN,1997,190.4057331429999
China,CHN,1998,62.099457285999506
China,CHN,1999,149.79492102400036
China,CHN,2000,175.96753822400024
China,CHN,2001,59.78351025799975
China,CHN,2002,217.53230574500049
China,CHN,2003,333.23304324599985
China,CHN,2004,548.5745302959999
China,CHN,2005,67.94685730299989
China,CHN,2006,289.4743681020004
China,CHN,2007,206.79853098999956
China,CHN,2008,89.81547899299949
China,CHN,2009,184.52885572800005
