Entity,Code,Year,Fossil fuels (%)
Slovakia,SVK,2013,3.8435441302459905
Slovakia,SVK,2014,-11.14933397348079
Slovakia,SVK,2015,2.5607414394818395
Slovakia,SVK,2016,1.0139040500510843
Slovakia,SVK,2017,7.820990859975296
Slovakia,SVK,2018,-1.0866939454989732
Slovenia,SVN,1991,-5.696677869824896
Slovenia,SVN,1992,-2.6798944651182266
Slovenia,SVN,1993,6.821357334695444
Slovenia,SVN,1994,2.932746553378651
Slovenia,SVN,1995,7.319401384338109
Slovenia,SVN,1996,5.935636547125522
Slovenia,SVN,1997,4.015975186607745
Slovenia,SVN,1998,-1.481621933152233
Slovenia,SVN,1999,-1.5533147000487024
Slovenia,SVN,2000,-2.353975402796704
Slovenia,SVN,2001,4.54749902467495
Slovenia,SVN,2002,0.5440738357781694
Slovenia,SVN,2003,0.8181609487313279
Slovenia,SVN,2004,2.0107905627618328
Slovenia,SVN,2005,1.484777229491141
Slovenia,SVN,2006,2.5766212706530123
Slovenia,SVN,2007,0.27396532242740523
Slovenia,SVN,2008,6.70970590890374
Slovenia,SVN,2009,-11.11125794740041
Slovenia,SVN,2010,1.7221780084188953
Slovenia,SVN,2011,-2.47141855311358
Slovenia,SVN,2012,-2.8936120117038944
Slovenia,SVN,2013,-4.069183986951053
Slovenia,SVN,2014,-8.68556177667853
Slovenia,SVN,2015,-0.00696292152958522
Slovenia,SVN,2016,6.689661307181161
Slovenia,SVN,2017,0.37598591871190745
Slovenia,SVN,2018,1.6802100411258403
South Africa,ZAF,1966,0.6222168998266442
South Africa,ZAF,1967,4.141046900191636
South Africa,ZAF,1968,5.540344232986705
South Africa,ZAF,1969,2.965936956730797
South Africa,ZAF,1970,4.501220074879719
South Africa,ZAF,1971,7.662782296989801
South Africa,ZAF,1972,2.8362543144767827
South Africa,ZAF,1973,7.529312415659217
South Africa,ZAF,1974,2.8015389590565265
South Africa,ZAF,1975,6.6599576782384595
South Africa,ZAF,1976,3.9918013885944736
South Africa,ZAF,1977,2.439828673218214
South Africa,ZAF,1978,-0.963064455753615
South Africa,ZAF,1979,3.6782060084001644
South Africa,ZAF,1980,6.84970379690506
South Africa,ZAF,1981,16.192628125960407
South Africa,ZAF,1982,7.854067501975415
South Africa,ZAF,1983,1.4872025214998752
South Africa,ZAF,1984,7.953432819110273
South Africa,ZAF,1985,1.6880756994317014
South Africa,ZAF,1986,0.47833691614618257
South Africa,ZAF,1987,2.4666451853592175
South Africa,ZAF,1988,8.548754381017854
South Africa,ZAF,1989,-4.695674434396146
South Africa,ZAF,1990,4.878140485527993
South Africa,ZAF,1991,-1.2227998500466408
South Africa,ZAF,1992,0.8089922878866895
South Africa,ZAF,1993,0.5789345115759792
South Africa,ZAF,1994,3.423252839550317
South Africa,ZAF,1995,4.358446281568096
South Africa,ZAF,1996,1.6951690007804388
South Africa,ZAF,1997,1.882089527705566
South Africa,ZAF,1998,-1.961346641288264
South Africa,ZAF,1999,3.956962397261621
South Africa,ZAF,2000,-0.07725216047326233
South Africa,ZAF,2001,0.9811116294092592
South Africa,ZAF,2002,-3.0670237817644663
South Africa,ZAF,2003,8.83951191294845
South Africa,ZAF,2004,9.251975951000935
South Africa,ZAF,2005,-5.0727614187822345
South Africa,ZAF,2006,2.019616776108335
South Africa,ZAF,2007,2.504495251695915
South Africa,ZAF,2008,7.422871861953229
South Africa,ZAF,2009,-0.26717220828585964
South Africa,ZAF,2010,0.9782738651622491
South Africa,ZAF,2011,-1.6631855953212038
South Africa,ZAF,2012,-1.179312890559947
South Africa,ZAF,2013,0.11994953695475541
South Africa,ZAF,2014,0.9009665237128761
South Africa,ZAF,2015,-2.631068265981462
South Africa,ZAF,2016,0.7078090016685579
South Africa,ZAF,2017,-2.2696798688261244
South Africa,ZAF,2018,0.30909208793314935
South Korea,KOR,1966,20.81843886526822
South Korea,KOR,1967,15.492913218388104
South Korea,KOR,1968,15.084031950940147
South Korea,KOR,1969,19.984620723741344
South Korea,KOR,1970,16.950412046453287
South Korea,KOR,1971,8.196687274236925
South Korea,KOR,1972,3.677914101895441
South Korea,KOR,1973,24.336148661937408
South Korea,KOR,1974,3.235739181153985
South Korea,KOR,1975,10.463505808928208
South Korea,KOR,1976,11.979253671720326
South Korea,KOR,1977,15.586056092656154
South Korea,KOR,1978,9.912311936844231
South Korea,KOR,1979,14.740661392808985
South Korea,KOR,1980,3.0719293946021686
South Korea,KOR,1981,4.777243107690121
South Korea,KOR,1982,0.06908458147902863
South Korea,KOR,1983,5.45283268301382
South Korea,KOR,1984,8.358157489761497
South Korea,KOR,1985,7.974168329942599
South Korea,KOR,1986,7.707010331263664
South Korea,KOR,1987,6.9164523469881445
South Korea,KOR,1988,14.364339940017556
South Korea,KOR,1989,6.964342398488443
South Korea,KOR,1990,12.896734352095972
South Korea,KOR,1991,14.787917505206405
South Korea,KOR,1992,14.932067469966492
South Korea,KOR,1993,10.373240126209037
South Korea,KOR,1994,9.211562153852547
South Korea,KOR,1995,8.585886956474976
South Korea,KOR,1996,10.555362490390397
South Korea,KOR,1997,10.544633267421034
South Korea,KOR,1998,-10.639889045192774
South Korea,KOR,1999,8.11896174154274
South Korea,KOR,2000,6.179050746701198
South Korea,KOR,2001,2.5319576956964074
South Korea,KOR,2002,4.36616653780757
South Korea,KOR,2003,2.2470841987780377
South Korea,KOR,2004,2.1849762866900546
South Korea,KOR,2005,1.9202238801548033
South Korea,KOR,2006,1.800172705850911
South Korea,KOR,2007,4.464446623329654
South Korea,KOR,2008,1.3933501758149225
South Korea,KOR,2009,0.8683306660737911
South Korea,KOR,2010,8.762538106020855
South Korea,KOR,2011,4.605387276276174
South Korea,KOR,2012,1.5848853587607348
South Korea,KOR,2013,1.067259381997343
South Korea,KOR,2014,-0.6812552635106051
South Korea,KOR,2015,1.394129979895209
South Korea,KOR,2016,2.8513888316236136
South Korea,KOR,2017,2.828569930267455
South Korea,KOR,2018,2.42107690447364
Spain,ESP,1966,7.882979684174662
Spain,ESP,1967,14.390608662038717
Spain,ESP,1968,4.679510881248139
Spain,ESP,1969,10.174013883713219
Spain,ESP,1970,11.703828842716746
Spain,ESP,1971,8.319124500829677
Spain,ESP,1972,6.283163315329321
Spain,ESP,1973,14.479255720001994
Spain,ESP,1974,3.6453323655349923
Spain,ESP,1975,5.223000072111184
Spain,ESP,1976,10.251048242688077
Spain,ESP,1977,-3.3845582234281246
Spain,ESP,1978,-0.24830405677472855
Spain,ESP,1979,7.058501941185624
Spain,ESP,1980,7.99489611359967
Spain,ESP,1981,2.1774392454962266
Spain,ESP,1982,-1.415433169006064
Spain,ESP,1983,1.704942809466381
Spain,ESP,1984,-4.201120280406123
Spain,ESP,1985,-2.727736935985725
Spain,ESP,1986,0.949258517391316
Spain,ESP,1987,2.7989309977999755
Spain,ESP,1988,-0.8073923271639472
Spain,ESP,1989,10.360502225379498
Spain,ESP,1990,-1.4164614395572706
Spain,ESP,1991,3.4017901262935135
Spain,ESP,1992,8.873936913234882
Spain,ESP,1993,-5.764721378486626
Spain,ESP,1994,4.888816206764601
Spain,ESP,1995,6.228208365015808
Spain,ESP,1996,-0.38724485537533493
Spain,ESP,1997,8.621809589725649
Spain,ESP,1998,4.969633767565762
Spain,ESP,1999,6.346251719962659
Spain,ESP,2000,4.112764923650025
Spain,ESP,2001,2.361842267943026
Spain,ESP,2002,4.977978726759913
Spain,ESP,2003,2.99613687181548
Spain,ESP,2004,5.854531076319569
Spain,ESP,2005,3.9931411186121757
Spain,ESP,2006,-0.5261301621629411
Spain,ESP,2007,2.4654116066654908
Spain,ESP,2008,-4.471355758080198
Spain,ESP,2009,-9.669901345079591
Spain,ESP,2010,-3.5724651108280603
Spain,ESP,2011,0.5870956224103496
Spain,ESP,2012,-1.5432250526191682
Spain,ESP,2013,-10.626241178840756
Spain,ESP,2014,-2.378646945916585
Spain,ESP,2015,5.067905739583467
Spain,ESP,2016,-0.45919540131786896
Spain,ESP,2017,5.657628622923094
Spain,ESP,2018,-0.8254141084946376
Sri Lanka,LKA,1966,2.4128945570449645
Sri Lanka,LKA,1967,2.4215560441885886
Sri Lanka,LKA,1968,2.3922323947821678
Sri Lanka,LKA,1969,2.316577177485968
Sri Lanka,LKA,1970,99.96966221686007
Sri Lanka,LKA,1971,-8.930620043064796
Sri Lanka,LKA,1972,9.244410909599466
Sri Lanka,LKA,1973,4.204113575800283
Sri Lanka,LKA,1974,-20.782954952307087
Sri Lanka,LKA,1975,-3.2354690800237784
Sri Lanka,LKA,1976,-0.7150802669015688
Sri Lanka,LKA,1977,6.366684551441137
Sri Lanka,LKA,1978,16.28981607771256
Sri Lanka,LKA,1979,2.7836906612937584
Sri Lanka,LKA,1980,0.8674624556735067
Sri Lanka,LKA,1981,17.904360643877084
Sri Lanka,LKA,1982,13.407015833932533
Sri Lanka,LKA,1983,9.299918321245727
Sri Lanka,LKA,1984,-14.47101239623121
Sri Lanka,LKA,1985,-8.951617543106439
Sri Lanka,LKA,1986,-0.8656781962342652
Sri Lanka,LKA,1987,13.819786120998035
Sri Lanka,LKA,1988,-3.150362771701476
Sri Lanka,LKA,1989,-4.9366471124805305
Sri Lanka,LKA,1990,6.791411437076511
Sri Lanka,LKA,1991,5.638451559308111
Sri Lanka,LKA,1992,17.636986484421314
Sri Lanka,LKA,1993,-2.802585778988753
Sri Lanka,LKA,1994,10.766402516882323
Sri Lanka,LKA,1995,8.339070028947182
Sri Lanka,LKA,1996,22.016158852890033
Sri Lanka,LKA,1997,8.436698294177368
Sri Lanka,LKA,1998,6.800788694008886
Sri Lanka,LKA,1999,9.123480726746823
Sri Lanka,LKA,2000,18.453035968551546
Sri Lanka,LKA,2001,-1.7191455256604926
Sri Lanka,LKA,2002,5.683570103532354
Sri Lanka,LKA,2003,0.729505331398661
Sri Lanka,LKA,2004,-1.7080473366364313
Sri Lanka,LKA,2005,14.659769596802708
Sri Lanka,LKA,2006,3.928272033780922
Sri Lanka,LKA,2007,6.092004176704169
Sri Lanka,LKA,2008,-8.71332527265909
Sri Lanka,LKA,2009,5.3207995385511575
Sri Lanka,LKA,2010,-0.576459339970059
