Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Czech Republic,CZE,2000,96.3218600398982
Czech Republic,CZE,2001,96.317920657958
Czech Republic,CZE,2002,96.4358278376798
Czech Republic,CZE,2003,96.55407000000002
Czech Republic,CZE,2004,96.67268282439424
Czech Republic,CZE,2005,96.79166650041076
Czech Republic,CZE,2006,96.91102121759775
Czech Republic,CZE,2007,97.0307266563465
Czech Republic,CZE,2008,97.15082652451909
Czech Republic,CZE,2009,97.2712824951813
Czech Republic,CZE,2010,97.39212827619517
Czech Republic,CZE,2011,97.51333554428922
Czech Republic,CZE,2012,97.56882690423407
Czech Republic,CZE,2013,97.5744852900173
Czech Republic,CZE,2014,97.58017044698727
Czech Republic,CZE,2015,97.58014801174689
Denmark,DNK,2000,93.8333908045978
Denmark,DNK,2001,93.83339080459781
Denmark,DNK,2002,93.83339080459781
Denmark,DNK,2003,93.8333908045978
Denmark,DNK,2004,94.14477011494263
Denmark,DNK,2005,94.45614942528745
Denmark,DNK,2006,94.76752873563225
Denmark,DNK,2007,95.07890804597707
Denmark,DNK,2008,95.39028735632189
Denmark,DNK,2009,95.70166666666671
Denmark,DNK,2010,96.01304597701156
Denmark,DNK,2011,96.32442528735645
Denmark,DNK,2012,96.63580459770128
Denmark,DNK,2013,96.739436
Denmark,DNK,2014,96.73747800000001
Denmark,DNK,2015,96.73556400000001
Ecuador,ECU,2000,66.35826887662367
Ecuador,ECU,2001,66.961154916078
Ecuador,ECU,2002,67.51657016218564
Ecuador,ECU,2003,68.04006304075452
Ecuador,ECU,2004,68.56404664177224
Ecuador,ECU,2005,69.08824813166984
Ecuador,ECU,2006,69.61266379285298
Ecuador,ECU,2007,70.13784053165787
Ecuador,ECU,2008,70.66322896335215
Ecuador,ECU,2009,71.18882537034128
Ecuador,ECU,2010,71.71490506459091
Ecuador,ECU,2011,72.2414680461008
Ecuador,ECU,2012,72.7707663785181
Ecuador,ECU,2013,73.30254705544351
Ecuador,ECU,2014,73.83712008638912
Ecuador,ECU,2015,74.360781870586
Estonia,EST,2000,93.24381667966688
Estonia,EST,2001,93.46137974526977
Estonia,EST,2002,93.68098173373653
Estonia,EST,2003,93.90248979997209
Estonia,EST,2004,94.12606009043326
Estonia,EST,2005,94.35169785411584
Estonia,EST,2006,94.57928965763355
Estonia,EST,2007,93.45486321771024
Estonia,EST,2008,91.9908778881385
Estonia,EST,2009,90.52612646786572
Estonia,EST,2010,89.06058284791507
Estonia,EST,2011,87.59424903598892
Estonia,EST,2012,86.12710123828916
Estonia,EST,2013,84.65928688313501
Estonia,EST,2014,83.19073044895275
Estonia,EST,2015,81.69057982729312
Ethiopia,ETH,2000,4.739922730948619
Ethiopia,ETH,2001,5.091535663578715
Ethiopia,ETH,2002,5.405191972786566
Ethiopia,ETH,2003,5.604078246578179
Ethiopia,ETH,2004,5.828843790421931
Ethiopia,ETH,2005,6.079318611789641
Ethiopia,ETH,2006,6.355684259700074
Ethiopia,ETH,2007,6.663079345307069
Ethiopia,ETH,2008,7.057504724870011
Ethiopia,ETH,2009,7.477876364645935
Ethiopia,ETH,2010,7.924871775018809
Ethiopia,ETH,2011,8.397390643526073
